2026-09-11 17:52:27,775 root INFO Scheduler | пересобран (Киев): записей расписания 0, проверка каждые 30 с, одна сессия за раз
2026-09-11 17:52:27,775 aiogram.dispatcher INFO Start polling
2026-09-11 17:52:27,823 aiogram.dispatcher INFO Run polling for bot @meet_112_bot id=8779376364 - 'meetbot'
2026-09-11 17:52:57,781 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:53:27 EEST)" (scheduled at 2026-09-11 20:52:57.770733+03:00)
2026-09-11 17:52:57,786 apscheduler.executors.default INFO Job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:53:27 EEST)" executed successfully
2026-09-11 17:53:27,775 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:53:57 EEST)" (scheduled at 2026-09-11 20:53:27.770733+03:00)
2026-09-11 17:53:27,780 apscheduler.executors.default INFO Job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:53:57 EEST)" executed successfully
2026-09-11 17:53:57,781 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:54:27 EEST)" (scheduled at 2026-09-11 20:53:57.770733+03:00)
2026-09-11 17:53:57,785 apscheduler.executors.default INFO Job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:54:27 EEST)" executed successfully
2026-09-11 17:54:27,775 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:54:57 EEST)" (scheduled at 2026-09-11 20:54:27.770733+03:00)
2026-09-11 17:54:27,780 apscheduler.executors.default INFO Job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:54:57 EEST)" executed successfully
2026-09-11 17:54:57,782 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:55:27 EEST)" (scheduled at 2026-09-11 20:54:57.770733+03:00)
2026-09-11 17:54:57,786 apscheduler.executors.default INFO Job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:55:27 EEST)" executed successfully
2026-09-11 17:55:27,776 apscheduler.executors.default INFO Running job "_scan (trigger: interval[0:00:30], next run at: 2026-09-11 20:55:57 EEST)" (scheduled at 2026-09-11 20:55:27.770733+03:00)
